p1_file_name,p1_op_left,p1_op_right,p1_pic_left,p1_pic_right,p1_reward_1,p1_reward_2,p2_file_name,p2_op_left,p2_op_right,p2_pic_left,p2_pic_right,p2_reward_1,p2_reward_2,p2_forced_left,p2_forced_right,p3_file_name,p3_op_rating,p3_pic_rating,p4_file_name,p4_op_left,p4_op_right,p4_pic_left,p4_pic_right,p4_reward_1,p4_reward_2,p4_trial_type,p4_free_choice,p4_forced_left,p4_forced_right,p4_with_rating,p4_rt_fix_durat,p4_rating_pic,option_left,option_right,pic_left,pic_right,reward_stim_1,reward_stim_2,comp_number,trial_type,free_choice,forced_left,forced_right,with_rating,rt_fix_durat,with_block_break,with_new_instr,task_version,block_n,test_rating_pic,p1_repeat.thisRepN,p1_repeat.thisTrialN,p1_repeat.thisN,p1_repeat.thisIndex,p1_loop.thisRepN,p1_loop.thisTrialN,p1_loop.thisN,p1_loop.thisIndex,p2_repeat.thisRepN,p2_repeat.thisTrialN,p2_repeat.thisN,p2_repeat.thisIndex,p2_loop.thisRepN,p2_loop.thisTrialN,p2_loop.thisN,p2_loop.thisIndex,p3_repeat.thisRepN,p3_repeat.thisTrialN,p3_repeat.thisN,p3_repeat.thisIndex,p3_loop.thisRepN,p3_loop.thisTrialN,p3_loop.thisN,p3_loop.thisIndex,p4_repeat.thisRepN,p4_repeat.thisTrialN,p4_repeat.thisN,p4_repeat.thisIndex,p4_loop.thisRepN,p4_loop.thisTrialN,p4_loop.thisN,p4_loop.thisIndex,p4_rating_loop.thisRepN,p4_rating_loop.thisTrialN,p4_rating_loop.thisN,p4_rating_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,test_rating_loop.thisRepN,test_rating_loop.thisTrialN,test_rating_loop.thisN,test_rating_loop.thisIndex,msg_p1.started,msg_p1.stopped,left_option_p1.started,left_option_p1.stopped,right_option_p1.started,right_option_p1.stopped,fixation_p1.started,fixation_p1.stopped,fb_p1.started,fb_p1.stopped,msg2_p1.started,msg2_p1.stopped,msg_p2.started,msg_p2.stopped,left_option_p2.started,left_option_p2.stopped,right_option_p2.started,right_option_p2.stopped,fixation_p2.started,fixation_p2.stopped,left_gray_p2.started,left_gray_p2.stopped,right_gray_p2.started,right_gray_p2.stopped,fc_wrong_p2.started,fc_wrong_p2.stopped,fb_p2.started,fb_p2.stopped,msg2_p2.started,msg2_p2.stopped,msg_p3.started,msg_p3.stopped,pic_p3.started,pic_p3.stopped,rating_bar_p3.response,rating_bar_p3.rt,rating_bar_p3.started,rating_bar_p3.stopped,msg2_p3.started,msg2_p3.stopped,msg_p4.started,msg_p4.stopped,left_option_p4.started,left_option_p4.stopped,right_option_p4.started,right_option_p4.stopped,fixation_p4.started,fixation_p4.stopped,choice_p4.keys,choice_p4.rt,choice_p4.started,choice_p4.stopped,left_gray_p4.started,left_gray_p4.stopped,right_gray_p4.started,right_gray_p4.stopped,fc_wrong_p4.started,fc_wrong_p4.stopped,fb_p4.started,fb_p4.stopped,rating_p4.started,rating_p4.stopped,rating_bar_p4.response,rating_bar_p4.rt,rating_bar_p4.started,rating_bar_p4.stopped,reminder_rating_p4.started,reminder_rating_p4.stopped,msg2_p4.started,msg2_p4.stopped,instr_resp.keys,instr_resp.rt,instr_resp.started,instr_resp.stopped,test_instr_txt.started,test_instr_txt.stopped,break_text.started,break_text.stopped,break_resp.keys,break_resp.started,break_resp.stopped,new_instr_resp.keys,new_instr_resp.started,new_instr_resp.stopped,new_instr_txt.started,new_instr_txt.stopped,left_option.started,left_option.stopped,right_option.started,right_option.stopped,fixation.started,fixation.stopped,choice.keys,choice.corr,choice.rt,choice.started,choice.stopped,left_gray.started,left_gray.stopped,right_gray.started,right_gray.stopped,fc_wrong.started,fc_wrong.stopped,chosen_op,feedback_2.started,feedback_2.stopped,iti_fixation.started,iti_fixation.stopped,option_rating1.started,option_rating1.stopped,rating_bar1.response,rating_bar1.rt,rating_bar1.started,rating_bar1.stopped,rt_score1,reminder_rating1.started,reminder_rating1.stopped,break_resp.rt,new_instr_resp.rt,end_msg.started,end_msg.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
p1_cond.xlsx,1,2,stimuli/a1.png,stimuli/a2.png,16,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.561649234965444,None,16.227637788048014,None,16.227637788048014,None,16.227637788048014,None,16.961093683028594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,20,F,2020_Mar_04_2244,three_arm_bandit_rating_kb_block,2020.1.1,59.73776133150301,
p1_cond.xlsx,2,1,stimuli/a2.png,stimuli/a1.png,47,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.978324643103406,None,17.978324643103406,None,17.978324643103406,None,18.360739205032587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,20,F,2020_Mar_04_2244,three_arm_bandit_rating_kb_block,2020.1.1,59.73776133150301,
p1_cond.xlsx,3,1,stimuli/a3.png,stimuli/a1.png,85,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.37940720305778,None,19.37940720305778,None,19.37940720305778,None,19.67730985302478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,20,F,2020_Mar_04_2244,three_arm_bandit_rating_kb_block,2020.1.1,59.73776133150301,
p1_cond.xlsx,3,2,stimuli/a3.png,stimuli/a2.png,72,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.694241035031155,None,20.694241035031155,None,20.694241035031155,None,21.011518457904458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,20,F,2020_Mar_04_2244,three_arm_bandit_rating_kb_block,2020.1.1,59.73776133150301,
p1_cond.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.060846807900816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,20,F,2020_Mar_04_2244,three_arm_bandit_rating_kb_block,2020.1.1,59.73776133150301,
,,,,,,,p2_cond.xlsx,3,2,stimuli/a3.png,stimuli/a2.png,72,43,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.894377690041438,None,23.41154037299566,None,23.41154037299566,None,23.41154037299566,None,23.41154037299566,None,23.41154037299566,23.41154037299566,23.41154037299566,None,24.161114492919296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,20,F,2020_Mar_04_2244,three_arm_bandit_rating_kb_block,2020.1.1,59.73776133150301,
,,,,,,,p2_cond.xlsx,2,1,stimuli/a2.png,stimuli/a1.png,47,15,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.177894693100825,None,25.177894693100825,None,25.177894693100825,None,25.177894693100825,None,25.177894693100825,25.177894693100825,25.177894693100825,None,28.478022393072024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,20,F,2020_Mar_04_2244,three_arm_bandit_rating_kb_block,2020.1.1,59.73776133150301,
,,,,,,,p2_cond.xlsx,3,1,stimuli/a3.png,stimuli/a1.png,85,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.494106214959174,None,29.494106214959174,None,29.494106214959174,None,29.494106214959174,29.494106214959174,29.494106214959174,None,29.494106214959174,None,31.127754108048975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,20,F,2020_Mar_04_2244,three_arm_bandit_rating_kb_block,2020.1.1,59.73776133150301,
,,,,,,,p2_cond.xlsx,1,2,stimuli/a1.png,stimuli/a2.png,16,54,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.144062717910856,None,32.144062717910856,None,32.144062717910856,None,32.144062717910856,32.144062717910856,32.144062717910856,None,32.144062717910856,None,34.011339623015374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,20,F,2020_Mar_04_2244,three_arm_bandit_rating_kb_block,2020.1.1,59.73776133150301,
,,,,,,,p2_cond.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.07784959790297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,20,F,2020_Mar_04_2244,three_arm_bandit_rating_kb_block,2020.1.1,59.73776133150301,
